"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000058, 1, 0.000058, x1='0.0', x2='0.0'
0.007193, 55.602113, 0.022266, 1, 0.015073, x1='0.0', x2='0.0'
0.013232, 7.577192, 0.128013, 2, 0.114781, x1='-1.8258951676148536', x2='9.322569355770616'
0.030775, 7.499214, 0.184354, 3, 0.153579, x1='-3.10989368941844', x2='14.862875725967479'
0.200125, 2.126368, 1.229444, 4, 1.029320, x1='-3.62047362351166', x2='14.260692976293758'
0.548396, 1.746605, 3.553473, 5, 3.005077, x1='3.672129200549632', x2='2.0672341563651515'
0.570684, 1.507687, 3.628472, 6, 3.057788, x1='3.6200299744438933', x2='1.7536075636996458'
0.704274, 0.417227, 4.693533, 7, 3.989259, x1='3.133540993746143', x2='2.419231178294777'
1.671508, 0.403331, 10.741745, 8, 9.070237, x1='9.393811978749675', x2='2.4779877701207957'
1.683349, 0.398890, 10.780066, 9, 9.096717, x1='9.426022168802149', x2='2.444497573109472'
